condition,trial,rank,n_check,n_hit,CRO,HRO,CHR,block,outcome,group
12to12,consistent10,224,18,14,0.76726091,0.77777777,0.77419863,3,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",X
16to8,inconsistent03,7,20,2,0.99999968,0.1,0.51961742,3,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A
16to8,inconsistent01,5,3,3,0.06163004,0.99999692,0.20679871,1,"[1, 1, 1]",B
16to8,consistent07,219,14,7,0.52497059,0.5,0.51738118,4,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1]",C
16to8,inconsistent02,6,19,0,0.9013581,3.84E-07,0.4647894,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",D
16to8,consistent04,216,15,9,0.57008877,0.6,0.5807389,4,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",E
16to8,consistent10,222,13,6,0.48400975,0.46153846,0.47787627,2,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",F
16to8,inconsistent05,1,20,0,0.99999968,3.84E-07,0.48208489,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",G
16to8,consistent05,217,12,5,0.44568944,0.41666667,0.43842873,2,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0]",H
16to8,consistent11,223,17,12,0.68415322,0.70588264,0.69542161,1,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",I
16to8,consistent01,213,18,13,0.76726091,0.72222224,0.73942853,3,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0]",J
16to8,consistent16,228,2,0,0.00016447,3.08E-06,4.32E-07,4,"[0, 0]",K
16to8,consistent03,215,15,8,0.57008877,0.53333333,0.5574064,3,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]",L
16to8,consistent13,225,19,17,0.9013581,0.89473684,0.89556812,2,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",M
16to8,consistent02,214,17,11,0.68415322,0.64705882,0.66602953,3,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",N
16to8,consistent09,221,7,2,0.26183415,0.28571419,0.26677075,1,"[1, 1, 0, 0, 0, 0, 0]",O
16to8,consistent15,227,16,10,0.62172298,0.625,0.6230843,3,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",P
16to8,inconsistent08,20,20,6,0.99999968,0.29999954,0.5959678,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",Q
16to8,consistent14,226,9,3,0.33692012,0.33333333,0.33615501,4,"[0, 0, 1, 1, 0, 0, 0, 0, 1]",R
16to8,inconsistent04,8,4,4,0.12413923,0.99999846,0.25667356,4,"[1, 1, 1, 1]",S
16to8,inconsistent07,19,18,1,0.76726091,0.05555556,0.46671329,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",T
16to8,consistent08,220,5,1,0.17576975,0.2000001,0.18133014,1,"[0, 0, 0, 1, 0]",U
16to8,inconsistent06,2,1,1,1.87E-05,0.99999385,0.08089238,3,[1],V
16to8,consistent06,218,10,4,0.37292977,0.4,0.37886694,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",W
